month,milk_prod_per_cow_kg
1962-01-01,265.05
1962-02-01,252.45
1962-03-01,288
1962-04-01,295.2
1962-05-01,327.15
1962-06-01,313.65
1962-07-01,288
1962-08-01,269.55
1962-09-01,255.6
1962-10-01,259.65
1962-11-01,248.85
1962-12-01,261.9
1963-01-01,270
1963-02-01,254.7
1963-03-01,293.85
1963-04-01,302.85
1963-05-01,333.9
1963-06-01,322.2
1963-07-01,297
1963-08-01,277.65
1963-09-01,262.35
1963-10-01,264.15
1963-11-01,254.25
1963-12-01,269.1
1964-01-01,282.6
1964-02-01,278.1
1964-03-01,309.6
1964-04-01,317.25
1964-05-01,346.5
1964-06-01,331.2
1964-07-01,305.1
1964-08-01,287.55
1964-09-01,271.8
1964-10-01,274.95
1964-11-01,267.3
1964-12-01,285.3
1965-01-01,296.1
1965-02-01,279.9
1965-03-01,319.05
1965-04-01,324.9
1965-05-01,351.9
1965-06-01,340.2
1965-07-01,315.9
1965-08-01,293.85
1965-09-01,276.75
1965-10-01,279.45
1965-11-01,270.9
1965-12-01,285.75
1966-01-01,304.65
1966-02-01,285.75
1966-03-01,331.2
1966-04-01,339.75
1966-05-01,364.95
1966-06-01,359.1
1966-07-01,330.75
1966-08-01,313.65
1966-09-01,297.45
1966-10-01,300.15
1966-11-01,290.25
1966-12-01,309.6
1967-01-01,320.85
1967-02-01,300.15
1967-03-01,342.9
1967-04-01,352.8
1967-05-01,376.65
1967-06-01,367.65
1967-07-01,345.15
1967-08-01,324.9
1967-09-01,306.45
1967-10-01,309.15
1967-11-01,297
1967-12-01,314.1
1968-01-01,322.65
1968-02-01,313.2
1968-03-01,348.75
1968-04-01,358.2
1968-05-01,386.1
1968-06-01,371.7
1968-07-01,352.35
1968-08-01,333
1968-09-01,315.45
1968-10-01,317.7
1968-11-01,304.65
1968-12-01,319.95
1969-01-01,330.3
1969-02-01,310.5
1969-03-01,353.25
1969-04-01,362.25
1969-05-01,391.95
1969-06-01,380.25
1969-07-01,360.45
1969-08-01,343.8
1969-09-01,326.25
1969-10-01,325.35
1969-11-01,310.5
1969-12-01,330.3
1970-01-01,337.5
1970-02-01,318.15
1970-03-01,363.15
1970-04-01,370.8
1970-05-01,398.7
1970-06-01,386.55
1970-07-01,368.55
1970-08-01,352.35
1970-09-01,333
1970-10-01,336.15
1970-11-01,319.95
1970-12-01,337.95
1971-01-01,361.8
1971-02-01,340.2
1971-03-01,387
1971-04-01,395.1
1971-05-01,423.9
1971-06-01,410.85
1971-07-01,391.05
1971-08-01,375.3
1971-09-01,355.5
1971-10-01,360
1971-11-01,343.35
1971-12-01,360
1972-01-01,371.7
1972-02-01,359.55
1972-03-01,400.5
1972-04-01,405
1972-05-01,432.45
1972-06-01,420.75
1972-07-01,402.3
1972-08-01,384.75
1972-09-01,364.05
1972-10-01,364.5
1972-11-01,344.7
1972-12-01,362.25
1973-01-01,369.45
1973-02-01,347.85
1973-03-01,397.35
1973-04-01,404.1
1973-05-01,430.65
1973-06-01,415.8
1973-07-01,396.45
1973-08-01,376.65
1973-09-01,352.8
1973-10-01,355.95
1973-11-01,342
1973-12-01,360.9
1974-01-01,372.6
1974-02-01,350.1
1974-03-01,400.05
1974-04-01,405.9
1974-05-01,436.05
1974-06-01,426.15
1974-07-01,408.6
1974-08-01,390.15
1974-09-01,366.75
1974-10-01,365.4
1974-11-01,347.85
1974-12-01,365.85
1975-01-01,375.3
1975-02-01,351.9
1975-03-01,401.4
1975-04-01,406.35
1975-05-01,434.7
1975-06-01,421.65
1975-07-01,403.2
1975-08-01,386.1
1975-09-01,367.65
1975-10-01,372.15
1975-11-01,358.65
1975-12-01,379.35
